,Title,Desc,Date
0,Anker’s Roav Bolt is a USB car charger with Google Assistant built in,"Anker is building out its Roav line of car adapter and charger combos with the new Roav Bolt, it announced today at CES. The Bolt, like last year's Roav Viva, ...",2019-01-08 09:00:11
0,Google’s latest ad reimagines Home Alone with Google Assistant,"Home Alone is an iconic holiday movie. Google Home devices are popular holiday gifts. And so, it kind of makes sense that Google would bring the two together ...",2018-12-19 00:00:00
0,New Google Campus Accelerates Tech’s March Into New York,Google said it planned a $1 billion campus just south of the West Village that would enable it to double its local work force over a decade.,2018-12-17 00:00:00
0,"Google shifted $23bn to tax haven Bermuda in 2017, filing shows","Firm used Dutch shell company in move known as 'double Irish, Dutch sandwich' that cuts its foreign tax bill.",2019-01-03 00:00:00
0,How Google Will Destroy Uber,"Google's Waymo has officially launched the world's first self-driving, ride-sharing *service*! It's only the first step in Waymo's domination of American roads.",2018-12-18 00:00:00
0,"Google's human-sounding A.I. called a restaurant and made a reservation for me, and I'm completely amazed","I used Google's A.I. to call a restaurant and make a reservation, and it works. Here's what it was like.",2018-12-19 00:00:00
0,"Google in 2018: The good, the bad, and the ugly",Google gave the tech world plenty to talk about in 2018.,2018-12-24 00:00:00
0,Google’s Rich Results testing tool now supports code editing,Google has updated its Rich Results Test tool to let webmasters edit the code and see how those edits impact their results results. Google announced this as ...,2019-01-07 07:55:00
0,"Microsoft, Google Use Artificial Intelligence to Fight Hackers","Last year, Microsoft Corp.'s Azure security team detected suspicious activity in the cloud computing usage of a large retailer: One of the company's ...",2019-01-05 11:00:50
0,How Google took on China—and lost,"It used to be that while Google wanted China, China really needed Google. Not any more.",2018-12-19 00:00:00
0,Google's Earth: how the tech giant is helping the state spy on us,The long read: We knew that being connected had a price – our data. But we didn't care. Then it turned out that Google's main clients included the military and ...,2018-12-20 00:00:00
0,Google’s Chrome Canvas is a handy browser app for quick doodles,Google has quietly released a web drawing app called Chrome Canvas that lets you make quick doodles that automatically save to your Google account.,2018-12-20 00:00:00
0,Google's Secret China Project “Effectively Ended” After Internal Confrontation,Google has been forced to shut down a data analysis system it was using to develop a censored search engine for China after members of the company's ...,2018-12-17 00:00:00
0,Firm Led by Google Veterans Uses A.I. to ‘Nudge’ Workers Toward Happiness,"Humu, a Silicon Valley start-up, applies data-driven lessons in human resources to the goal of improving employee satisfaction.",2018-12-31 00:00:00
0,Google denies altering YouTube code to break Microsoft Edge,"A former Microsoft intern has claimed YouTube purposely broke Edge support earlier this year. Google claims the problem was simply a bug, but the issues ...",2018-12-19 00:00:00
0,"Google's Algorithm Isn't Biased, It's Just Not Human","Expanding the search algorithm beyond absolute areas like store hours, locations, and historical facts shifted a system designed to create order into chaos.",2018-12-14 00:00:00
0,Google's Fuchsia OS will be able to run Android apps,"It might take years before Google's Fuchsia OS starts showing up on devices, but when it does, it will apparently be able to run Android apps. 9to5Google has sp.",2019-01-03 00:00:00
0,Tracking the Demise of My Marriage on Google Maps,"My husband moved out about six weeks ago, marking the end of our nearly 19-year relationship, but Google Maps hasn't noticed yet. That morning I had ...",2019-01-03 21:00:42
0,Google's policy change affects 75% of users of ESET's Android anti-theft service,The unfortunate implications of a well-intentioned change to Google Play Developer policies – and the negative impact it has on ESET's Android app customers.,2018-12-21 00:00:00
0,"Samsung to Add Google Assistant, Better Sound to 2019 TV Sets (EXCLUSIVE)","Samsung is preparing to integrate third-party voice assistants into its 2019 line of TV sets, Variety has learned from sources familiar with the company's plans.",2018-12-20 00:00:00
0,How a physician review site recovered from Google’s ‘medic’ update,"On Aug. 1, Google released an algorithmic update (aka “the Medic update”) and since then many websites, especially those in the health niche, are trying to find ...",2018-12-19 00:00:00
0,What Amazon Could Learn From Google in New York City,"Amazon's arrival in New York City has been loud. But Google has been quietly expanding in Manhattan for years, with few complaints from residents.",2018-12-14 00:00:00
0,Google isn’t the company that we should have handed the Web over to,"With Microsoft's decision to end development of its own Web rendering engine and switch to Chromium, control over the Web has functionally been ceded to ...",2018-12-17 00:00:00
0,“Secret” Google Playbook Shows How to Improve Ecommerce Sales,Google recently published a 108 page eBook filled with proven advice for increasing sales. The insights are based on scientific A/B testing and includes citations ...,2018-12-19 00:00:00
0,"Google's caste system is bad for workers—and bad for Google, too","We were at the world's most enviable workplace. But a weird caste system excluded us from meetings, certain cafeterias, the Google campus store, and much ...",2018-12-13 00:00:00
0,Google Lens can now recognize a billion items,"Google's AI-powered camera tool can now recognize over a billion items, the company wrote in a new blog post. Google Lens launched last year in a ...",2018-12-19 00:00:00
0,Google Transfers Ownership of Duck.com to DuckDuckGo,Google has given up ownership of the domain Duck.com and transferred it to rival search engine DuckDuckGo.,2018-12-13 00:00:00
0,Project Soli: Google's futuristic plan to replace buttons and touchscreens gets go-ahead,Google has received approval from US regulators to deploy a futuristic technology that allows smart devices to be controlled by hand gestures alone.,2019-01-03 15:26:00
0,Facebook Audience Network Joined Google’s Open Bidding Program,Publishers using mobile ad network Facebook Audience Network now have another bidding option: the Open Bidding program from Google. The social network ...,2018-12-14 00:00:00
0,Google to open artificial intelligence lab in Princeton and collaborate with University researchers,Princeton University computer science professors Elad Hazan and Yoram Singer will lead a new Google artificial intelligence lab opening in January in the town ...,2018-12-18 00:00:00
0,New for Christmas 2018: Google's Santa Tracker Now Offers the Gift of Games,"Google Santa Tracker, Village has cool math, Christmas games let you write code, sketch, learn; NORAD's Santa Tracker also operates Dec 24.",2018-12-23 00:00:00
0,Google’s AI Guru Wants Computers to Think More Like Brains,WIRED: Canada's prime minister Justin Trudeau told the G7 conference that more work is needed on the ethical challenges raised by artificial intelligence.,2018-12-12 00:00:00
0,"How to Set Up and Use Family Link, Google's Parental Controls App","Google has rolled out screen time and app management features to the Chrome OS version of its parental supervision app, Family Link, so now you can ...",2018-12-17 00:00:00
0,"How I Quit Apple, Microsoft, Google, Facebook, and Amazon","A reflection on my month without Apple, Microsoft, Google, Facebook, and Amazon, plus a how-to guide if you want to quit the biggest companies in tech.",2018-12-13 00:00:00
0,Google's Feature for Predicting Flight Delays Actually Sounds Useful Now,"Flying during the holidays is typically frustrating at best, and even worse if you're traveling to or from anywhere that snows. So to help alleviate a tiny bit of stress, ...",2018-12-17 00:00:00
0,Hackers hijack thousands of Chromecasts to warn of latest security bug,Hackers have hijacked thousands of exposed Chromecast streaming devices to warn users of the latest security flaw to affect the device. But other security ...,2019-01-02 00:00:00
