"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RGEN","Repligen Corporation","50.86","$2.23B","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/rgen",
"REPL","Replimune Group, Inc.","10.55","$332.89M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/repl",
"RBCAA","Republic Bancorp, Inc.","39.92","$834.52M","1998","Finance","Major Banks","https://www.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","6.3","$370.37M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/frbk",
"RSG","Republic Services, Inc.","72.81","$23.63B","1998","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/rsg",
"REFR","Research Frontiers Incorporated","1.86","$51.45M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/refr",
"REZI","Resideo Technologies, Inc.","20.39","$2.51B","2018","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/rezi",
"RMD","ResMed Inc.","110.19","$15.7B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rmd",
"REN           ","Resolute Energy Corporation","29.97","$670.08M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ren",
"RFP","Resolute Forest Products Inc.","8.27","$750.94M","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/rfp",
"RESN","Resonant Inc.","1.59","$43.07M","2014","Technology","Semiconductors","https://www.nasdaq.com/symbol/resn",
"RECN","Resources Connection, Inc.","15.75","$496.8M","2000","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/recn",
"QSR","Restaurant Brands International Inc.","54.14","$13.61B","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/qsr",
"HAIR","Restoration Robotics, Inc.","0.63","$25.63M","2017","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hair",
"TORC","resTORbio, Inc.","8.78","$246.33M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/torc",
"ROIC","Retail Opportunity Investments Corp.","15.89","$1.81B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/roic",
"RPAI","Retail Properties of America, Inc.","10.92","$2.35B","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rpai",
